# Oikeajännitekytkentä
0.2;7
0.5;14
1.0;18
1.5;21
2.0;21.5
3.0;26
5.0;34
10;51
15;65
20;80
#Oikeavirtakytkentä
0.2;4
0.5;9.25
1.0;17
1.5;19
2.0;21.5
3.0;26
5.0;34
10;51
15;65
20;80
#
